,IMDB ID,Title,Director,Actor,Year,Box Office,Rating,IMDB Rating,IMDB Votes,Metascore
224,tt1243957,The Tourist,Florian Henckel von Donnersmarck,Johnny Depp,2010,67631157.0,PG-13,6.0,215485.0,37.0
225,tt1324999,The Twilight Saga: Breaking Dawn - Part 1,Bill Condon,Taylor Lautner,2011,281267663.0,PG-13,4.9,215436.0,45.0
226,tt1210819,The Lone Ranger,Gore Verbinski,Johnny Depp,2013,89289910.0,PG-13,6.4,215654.0,37.0
227,tt0837562,Hotel Transylvania,Genndy Tartakovsky,Adam Sandler,2012,148280635.0,PG,7.1,214368.0,47.0
228,tt1588173,Warm Bodies,Jonathan Levine,Nicholas Hoult,2013,65000000.0,PG-13,6.9,214151.0,60.0
229,tt3065204,The Conjuring 2,James Wan,Patrick Wilson,2016,102461593.0,R,7.3,212809.0,65.0
230,tt1564367,Just Go with It,Dennis Dugan,Adam Sandler,2011,103028109.0,PG-13,6.4,211733.0,33.0
231,tt2209764,Transcendence,Wally Pfister,Johnny Depp,2014,23014504.0,PG-13,6.3,210862.0,42.0
232,tt1124035,The Ides of March,George Clooney,Ryan Gosling,2011,40962534.0,R,7.1,211045.0,67.0
233,tt0983193,The Adventures of Tintin,Steven Spielberg,Jamie Bell,2011,75300000.0,PG,7.3,209923.0,68.0
234,tt1832382,A Separation,Asghar Farhadi,Payman Maadi,2011,6700000.0,PG-13,8.3,209132.0,95.0
235,tt2908446,Insurgent,Robert Schwentke,Kate Winslet,2015,114138208.0,PG-13,6.2,209111.0,42.0
236,tt1922777,Sinister,Scott Derrickson,Ethan Hawke,2012,48100000.0,R,6.8,208963.0,53.0
237,tt2381941,Focus,Glenn Ficarra,Will Smith,2015,50265541.0,R,6.6,206566.0,56.0
238,tt2361509,The Intern,Nancy Meyers,Robert De Niro,2015,60886513.0,PG-13,7.1,205929.0,51.0
239,tt1424381,Predators,Nimród Antal,Adrien Brody,2010,52000688.0,R,6.4,206270.0,51.0
240,tt1411238,No Strings Attached,Ivan Reitman,Natalie Portman,2011,70300000.0,R,6.2,206095.0,50.0
241,tt4160708,Don't Breathe,Fede Alvarez,Stephen Lang,2016,89210468.0,R,7.1,205569.0,71.0
242,tt1189340,The Lincoln Lawyer,Brad Furman,Matthew McConaughey,2011,57900000.0,R,7.3,204867.0,63.0
243,tt2293640,Minions,Kyle Balda,Sandra Bullock,2015,277969969.0,PG,6.4,203993.0,56.0
