,IMDB ID,Title,Director,Actor,Year,Box Office,Rating,IMDB Rating,IMDB Votes,Metascore
634,tt3829266,The Predator,Shane Black,Boyd Holbrook,2018,N/A,R,5.4,"108,468",48
635,tt6412452,The Ballad of Buster Scruggs,Ethan Coen,Tim Blake Nelson,2018,N/A,R,7.3,"105,643",79
636,tt0365907,A Walk Among the Tombstones,Scott Frank,Liam Neeson,2014,N/A,R,6.5,"109,254",57
637,tt4438848,Neighbors 2: Sorority Rising,Nicholas Stoller,Seth Rogen,2016,N/A,R,5.7,"109,100",58
638,tt1821549,Nebraska,Alexander Payne,Bruce Dern,2013,"$11,348,612",R,7.7,"109,121",87
639,tt4786282,Lights Out,David F. Sandberg,Teresa Palmer,2016,N/A,PG-13,6.3,"108,480",58
640,tt2402927,Carol,Todd Haynes,Cate Blanchett,2015,"$8,518,148",R,7.2,"108,442",94
641,tt4651520,Bad Moms,Jon Lucas,Mila Kunis,2016,N/A,R,6.2,"108,970",60
642,tt0435651,The Giver,Phillip Noyce,Jeff Bridges,2014,"$33,480,518",PG-13,6.5,"108,890",47
643,tt1067583,Water for Elephants,Francis Lawrence,Reese Witherspoon,2011,"$58,700,247",PG-13,6.9,"108,445",52
644,tt1860213,Dirty Grandpa,Dan Mazer,Robert De Niro,2016,N/A,R,5.9,"107,789",21
645,tt1517260,The Host,Andrew Niccol,Rachel Roberts,2013,"$26,609,448",PG-13,5.9,"108,372",35
646,tt0455407,The Crazies,Breck Eisner,Timothy Olyphant,2010,"$38,240,768",R,6.5,"108,374",56
647,tt0077651,Halloween,John Carpenter,Donald Pleasence,1978,N/A,R,7.8,"218,039",81
648,tt3567288,The Visit,M. Night Shyamalan,Olivia DeJonge,2015,"$56,499,874",PG-13,6.2,"108,547",55
649,tt1911644,The Call,Brad Anderson,Halle Berry,2013,N/A,R,6.7,"108,067",51
650,tt5814060,The Nun,Corin Hardy,Demián Bichir,2018,N/A,R,5.3,"107,092",46
651,tt1560220,Zombieland: Double Tap,Ruben Fleischer,Woody Harrelson,2019,N/A,R,6.8,"100,414",55
652,tt1071875,Ghost Rider: Spirit of Vengeance,Mark Neveldine,Nicolas Cage,2011,"$51,774,002",PG-13,4.3,"107,726",34
653,tt1547234,Premium Rush,David Koepp,Joseph Gordon-Levitt,2012,"$20,275,446",PG-13,6.5,"107,420",66
654,tt1924429,Trance,Danny Boyle,James McAvoy,2013,"$4,856,227",R,6.9,"107,456",61
655,tt4520988,Frozen II,Chris Buck,Kristen Bell,2019,N/A,PG,7.0,"106,368",64
656,tt6266538,Vice,Adam McKay,Christian Bale,2018,N/A,R,7.2,"106,935",61
657,tt2763304,T2 Trainspotting,Danny Boyle,Ewan McGregor,2017,"$2,395,410",R,7.2,"105,807",67
658,tt2404311,The Family,Luc Besson,Robert De Niro,2013,"$34,600,000",R,6.3,"106,701",42
659,tt1854564,Percy Jackson: Sea of Monsters,Thor Freudenthal,Logan Lerman,2013,"$68,558,662",PG,5.8,"106,152",39
660,tt1023114,The Way Back,Peter Weir,Dragos Bucur,2010,"$2,500,000",PG-13,7.3,"106,459",66
661,tt5308322,Happy Death Day,Christopher Landon,Jessica Rothe,2017,N/A,PG-13,6.5,"105,584",58
662,tt3469046,Despicable Me 3,Kyle Balda,Steve Carell,2017,N/A,PG,6.3,"104,806",49
663,tt5072816,The Butler,César Caro Cruz,Luis Borge,2017,N/A,N/A,7.6,433,N/A
664,tt1486185,Red Riding Hood,Catherine Hardwicke,Amanda Seyfried,2011,"$37,200,000",PG-13,5.4,"105,404",29
665,tt5140878,Annabelle: Creation,David F. Sandberg,Anthony LaPaglia,2017,N/A,R,6.5,"104,717",62
666,tt1307068,Seeking a Friend for the End of the World,Lorene Scafaria,Steve Carell,2012,"$7,100,000",R,6.7,"105,221",59
667,tt1956620,Sex Tape,Jake Kasdan,Cameron Diaz,2014,"$34,279,302",R,5.1,"104,334",36
668,tt1602613,Only God Forgives,Nicolas Winding Refn,Ryan Gosling,2013,"$700,000",R,5.7,"104,095",37
669,tt1921064,Pompeii,Paul W.S. Anderson,Dylan Schombing,2014,"$19,919,371",PG-13,5.5,"103,770",39
670,tt4500922,Maze Runner: The Death Cure,Wes Ball,Dylan O'Brien,2018,N/A,PG-13,6.2,"102,580",50
671,tt1528854,Daddy's Home,Sean Anders,Will Ferrell,2015,N/A,PG-13,6.2,"102,992",42
672,tt2854926,Tag,Jeff Tomsic,Ed Helms,2018,N/A,R,6.5,"102,399",56
673,tt3410834,Allegiant,Robert Schwentke,Shailene Woodley,2016,N/A,PG-13,5.7,"103,182",33
674,tt0970866,Little Fockers,Paul Weitz,Robert De Niro,2010,"$148,383,780",PG-13,5.5,"103,244",27
675,tt2312718,Homefront,Gary Fleder,Jason Statham,2013,"$12,641,119",R,6.5,"103,086",40
676,NA,Dag II,NA,NA,NA,NA,NA,NA,NA,NA
677,tt1924396,The Best Offer,Giuseppe Tornatore,Geoffrey Rush,2013,"$85,433",R,7.8,"101,546",49
678,tt1622979,Final Destination 5,Steven Quale,Nicholas D'Agosto,2011,"$42,500,000",R,5.8,"102,904",50
679,tt1206543,Out of the Furnace,Scott Cooper,Woody Harrelson,2013,"$8,314,341",R,6.8,"102,884",63
680,tt1588170,I Saw the Devil,Jee-woon Kim,Byung-hun Lee,2010,"$128,392",Not Rated,7.8,"100,901",67
681,tt3874544,The Boss Baby,Tom McGrath,Alec Baldwin,2017,"$174,996,080",PG,6.3,"102,205",50
682,tt3281548,Little Women,Greta Gerwig,Saoirse Ronan,2019,N/A,PG,7.9,"96,005",91
683,tt5776858,Phantom Thread,Paul Thomas Anderson,Vicky Krieps,2017,N/A,R,7.5,"100,962",90
684,tt2503944,Burnt,John Wells,Bradley Cooper,2015,N/A,R,6.6,"101,871",42
685,tt5606664,Doctor Sleep,Mike Flanagan,Ewan McGregor,2019,N/A,R,7.4,"94,783",59
686,tt7984734,The Lighthouse,Robert Eggers,Robert Pattinson,2019,N/A,R,7.6,"97,282",83
687,tt2510894,Hotel Transylvania 2,Genndy Tartakovsky,Adam Sandler,2015,N/A,PG,6.7,"100,301",44
688,tt2404233,Gods of Egypt,Alex Proyas,Brenton Thwaites,2016,N/A,PG-13,5.4,"100,823",25
689,tt1702439,Safe Haven,Lasse Hallström,Julianne Hough,2013,"$71,100,000",PG-13,6.7,"101,151",34
690,tt1567609,Get the Gringo,Adrian Grunberg,Mel Gibson,2012,"$493,573",R,7.0,"101,035",60
691,tt1509767,The Three Musketeers,Paul W.S. Anderson,Matthew Macfadyen,2011,"$20,356,913",PG-13,5.7,"100,806",35
692,tt2692250,Night at the Museum: Secret of the Tomb,Shawn Levy,Ben Stiller,2014,"$81,522,782",PG,6.2,"100,723",47
693,tt0780653,The Wolfman,Joe Johnston,Simon Merrells,2010,"$61,937,495",R,5.8,"100,827",43
694,tt4698684,Hunt for the Wilderpeople,Taika Waititi,Sam Neill,2016,"$5,202,582",PG-13,7.9,"98,619",81
695,tt4062536,Green Room,Jeremy Saulnier,Anton Yelchin,2015,"$3,219,029",R,7.0,"99,841",79
696,tt1682180,Stoker,Chan-wook Park,Mia Wasikowska,2013,"$1,700,000",R,6.8,"100,382",58
697,tt4034354,Swiss Army Man,Dan Kwan,Paul Dano,2016,N/A,R,7.0,"99,283",64
698,tt1656190,Safe,Boaz Yakin,Jason Statham,2012,"$17,120,019",R,6.5,"100,136",55
699,tt2557478,Pacific Rim: Uprising,Steven S. DeKnight,John Boyega,2018,N/A,PG-13,5.6,"99,738",44
700,tt1007029,The Iron Lady,Phyllida Lloyd,Meryl Streep,2011,"$29,959,436",PG-13,6.4,"99,892",54
701,tt2866360,Coherence,James Ward Byrkit,Emily Baldoni,2013,N/A,Not Rated,7.2,"98,714",65
702,tt1408253,Ride Along,Tim Story,Ice Cube,2014,"$110,374,905",PG-13,6.2,"98,446",41
703,tt3717490,Power Rangers,Dean Israelite,Dacre Montgomery,2017,N/A,PG-13,5.9,"98,489",44
704,tt4016934,The Handmaiden,Chan-wook Park,Min-hee Kim,2016,N/A,Not Rated,8.1,"97,678",84
705,tt1053424,Repo Men,Miguel Sapochnik,Jude Law,2010,"$13,156,255",R,6.3,"98,436",32
706,tt1327194,The Lucky One,Scott Hicks,Zac Efron,2012,"$60,443,237",PG-13,6.5,"98,104",39
707,tt2199571,Run All Night,Jaume Collet-Serra,Liam Neeson,2015,N/A,R,6.6,"97,832",59
708,tt2631186,Baahubali: The Beginning,S.S. Rajamouli,Prabhas,2015,N/A,Not Rated,8.1,"98,183",N/A
709,tt1450321,Filth,Jon S. Baird,James McAvoy,2013,"$23,145",R,7.1,"98,129",56
710,tt0848537,Epic,Chris Wedge,Blake Anderson,2013,N/A,PG,6.7,"97,722",52
711,tt1979388,The Good Dinosaur,Peter Sohn,Jeffrey Wright,2015,"$123,087,120",PG,6.7,"97,413",66
712,tt1433108,Faster,George Tillman Jr.,Dwayne Johnson,2010,"$23,225,911",R,6.4,"97,175",44
713,tt1438176,Fright Night,Craig Gillespie,Anton Yelchin,2011,"$18,298,649",R,6.3,"96,973",64
714,tt1590193,The Commuter,Jaume Collet-Serra,Liam Neeson,2018,"$36,241,300",PG-13,6.3,"97,011",56
715,tt2283336,Men in Black: International,F. Gary Gray,Chris Hemsworth,2019,N/A,PG-13,5.7,"93,633",38
716,tt0376136,The Rum Diary,Bruce Robinson,Johnny Depp,2011,"$13,000,000.00",R,6.2,"96,850",56
717,tt1878870,The Edge of Seventeen,Kelly Fremon Craig,Hailee Steinfeld,2016,"$14,260,193",R,7.3,"96,241",77
718,tt1478964,Attack the Block,Joe Cornish,Jodie Whittaker,2011,"$800,000",R,6.6,"96,905",75
719,tt1333125,Movie 43,Elizabeth Banks,Dennis Quaid,2013,"$8,700,000",R,4.3,"96,570",18
720,tt1488606,Triple Frontier,J.C. Chandor,Ben Affleck,2019,N/A,R,6.4,"95,538",61
721,tt4501244,Why Him?,John Hamburg,Zoey Deutch,2016,N/A,R,6.2,"95,949",39
722,tt5758778,Skyscraper,Rawson Marshall Thurber,Dwayne Johnson,2018,N/A,PG-13,5.8,"95,159",51
723,tt1038686,Legion,Scott Stewart,Paul Bettany,2010,"$40,168,080",R,5.2,"96,341",32
724,tt0427152,Dinner for Schmucks,Jay Roach,Steve Carell,2010,"$72,980,108",PG-13,5.9,"96,395",56
725,tt1571222,A Dangerous Method,David Cronenberg,Keira Knightley,2011,"$5,702,083",R,6.4,"96,189",76
726,tt1536044,Paranormal Activity 2,Tod Williams,David Bierend,2010,"$84,747,727",R,5.6,"96,144",53
727,tt1027718,Wall Street: Money Never Sleeps,Oliver Stone,Richard Stratton,2010,"$52,474,616",PG-13,6.2,"95,858",59
728,tt6343314,Creed II,Steven Caple Jr.,Michael B. Jordan,2018,N/A,PG-13,7.1,"95,076",66
